Ratio,Run,Phase,Tree,Metric,Value
10,17,Insert,WAVL Tree,Rotations,7081
10,17,Insert,RB Tree,Path,10330
10,17,Insert,WAVL Tree,Path,17931
10,17,Delete,RB Tree,Rotations,329
10,17,Delete,WAVL Tree,Rotations,311
10,17,Delete,RB Tree,Path,304
10,17,Delete,WAVL Tree,Path,282
10,18,Insert,RB Tree,Rotations,5710
10,18,Insert,WAVL Tree,Rotations,6978
10,18,Insert,RB Tree,Path,10392
10,18,Insert,WAVL Tree,Path,17851
10,18,Delete,RB Tree,Rotations,301
10,18,Delete,WAVL Tree,Rotations,300
10,18,Delete,RB Tree,Path,291
10,18,Delete,WAVL Tree,Path,287
10,19,Insert,RB Tree,Rotations,5879
10,19,Insert,WAVL Tree,Rotations,7016
10,19,Insert,RB Tree,Path,10286
10,19,Insert,WAVL Tree,Path,17897
10,19,Delete,RB Tree,Rotations,311
10,19,Delete,WAVL Tree,Rotations,304
10,19,Delete,RB Tree,Path,301
10,19,Delete,WAVL Tree,Path,287
10,20,Insert,RB Tree,Rotations,5850
10,20,Insert,WAVL Tree,Rotations,6875
10,20,Insert,RB Tree,Path,10248
10,20,Insert,WAVL Tree,Path,17785
10,20,Delete,RB Tree,Rotations,321
10,20,Delete,WAVL Tree,Rotations,281
10,20,Delete,RB Tree,Path,298
10,20,Delete,WAVL Tree,Path,296
10,21,Insert,RB Tree,Rotations,5777
10,21,Insert,WAVL Tree,Rotations,6934
10,21,Insert,RB Tree,Path,10172
10,21,Insert,WAVL Tree,Path,17784
10,21,Delete,RB Tree,Rotations,320
10,21,Delete,WAVL Tree,Rotations,311
10,21,Delete,RB Tree,Path,273
10,21,Delete,WAVL Tree,Path,298
10,22,Insert,RB Tree,Rotations,5816
10,22,Insert,WAVL Tree,Rotations,6988
10,22,Insert,RB Tree,Path,10250
10,22,Insert,WAVL Tree,Path,17801
10,22,Delete,RB Tree,Rotations,335
10,22,Delete,WAVL Tree,Rotations,304
10,22,Delete,RB Tree,Path,297
10,22,Delete,WAVL Tree,Path,294
10,23,Insert,RB Tree,Rotations,5859
10,23,Insert,WAVL Tree,Rotations,6987
10,23,Insert,RB Tree,Path,10152
10,23,Insert,WAVL Tree,Path,17780
10,23,Delete,RB Tree,Rotations,311
10,23,Delete,WAVL Tree,Rotations,283
10,23,Delete,RB Tree,Path,289
10,23,Delete,WAVL Tree,Path,280
10,24,Insert,RB Tree,Rotations,5864
10,24,Insert,WAVL Tree,Rotations,6953
10,24,Insert,RB Tree,Path,10212
10,24,Insert,WAVL Tree,Path,17775
10,24,Delete,RB Tree,Rotations,302
10,24,Delete,WAVL Tree,Rotations,302
10,24,Delete,RB Tree,Path,303
10,24,Delete,WAVL Tree,Path,291
10,25,Insert,RB Tree,Rotations,5758
10,25,Insert,WAVL Tree,Rotations,6941
10,25,Insert,RB Tree,Path,10268
10,25,Insert,WAVL Tree,Path,17801
10,25,Delete,RB Tree,Rotations,288
10,25,Delete,WAVL Tree,Rotations,275
10,25,Delete,RB Tree,Path,281
10,25,Delete,WAVL Tree,Path,297
10,26,Insert,RB Tree,Rotations,5858
10,26,Insert,WAVL Tree,Rotations,6966
10,26,Insert,RB Tree,Path,10270
10,26,Insert,WAVL Tree,Path,17812
10,26,Delete,RB Tree,Rotations,281
10,26,Delete,WAVL Tree,Rotations,306
10,26,Delete,RB Tree,Path,272
10,26,Delete,WAVL Tree,Path,267
10,27,Insert,RB Tree,Rotations,5728
10,27,Insert,WAVL Tree,Rotations,6947
10,27,Insert,RB Tree,Path,10230
10,27,Insert,WAVL Tree,Path,17865
10,27,Delete,RB Tree,Rotations,331
10,27,Delete,WAVL Tree,Rotations,302
10,27,Delete,RB Tree,Path,288
10,27,Delete,WAVL Tree,Path,294
10,28,Insert,RB Tree,Rotations,5722
10,28,Insert,WAVL Tree,Rotations,6910
10,28,Insert,RB Tree,Path,10288
10,28,Insert,WAVL Tree,Path,17866
10,28,Delete,RB Tree,Rotations,321
10,28,Delete,WAVL Tree,Rotations,299
10,28,Delete,RB Tree,Path,290
10,28,Delete,WAVL Tree,Path,312
10,29,Insert,RB Tree,Rotations,5799
10,29,Insert,WAVL Tree,Rotations,6982
10,29,Insert,RB Tree,Path,10266
10,29,Insert,WAVL Tree,Path,17873
10,29,Delete,RB Tree,Rotations,286
10,29,Delete,WAVL Tree,Rotations,264
10,29,Delete,RB Tree,Path,266
10,29,Delete,WAVL Tree,Path,287
10,30,Insert,RB Tree,Rotations,5666
10,30,Insert,WAVL Tree,Rotations,6921
10,30,Insert,RB Tree,Path,10302
10,30,Insert,WAVL Tree,Path,17806
10,30,Delete,RB Tree,Rotations,290
10,30,Delete,WAVL Tree,Rotations,285
10,30,Delete,RB Tree,Path,299
10,30,Delete,WAVL Tree,Path,300
10,31,Insert,RB Tree,Rotations,5876
10,31,Insert,WAVL Tree,Rotations,7096
10,31,Insert,RB Tree,Path,10212
10,31,Insert,WAVL Tree,Path,17863
10,31,Delete,RB Tree,Rotations,297
10,31,Delete,WAVL Tree,Rotations,332
10,31,Delete,RB Tree,Path,289
10,31,Delete,WAVL Tree,Path,280
10,32,Insert,RB Tree,Rotations,5827
10,32,Insert,WAVL Tree,Rotations,7095
10,32,Insert,RB Tree,Path,10196
10,32,Insert,WAVL Tree,Path,17877
10,32,Delete,RB Tree,Rotations,344
10,32,Delete,WAVL Tree,Rotations,288
10,32,Delete,RB Tree,Path,311
10,32,Delete,WAVL Tree,Path,279
10,33,Insert,RB Tree,Rotations,5885
10,33,Insert,WAVL Tree,Rotations,6935
10,33,Insert,RB Tree,Path,10176
10,33,Insert,WAVL Tree,Path,17780
10,33,Delete,RB Tree,Rotations,333
10,33,Delete,WAVL Tree,Rotations,321
10,33,Delete,RB Tree,Path,298
10,33,Delete,WAVL Tree,Path,287
10,34,Insert,RB Tree,Rotations,5788
10,34,Insert,WAVL Tree,Rotations,6840
10,34,Insert,RB Tree,Path,10292
10,34,Insert,WAVL Tree,Path,17794
10,34,Delete,RB Tree,Rotations,324
10,34,Delete,WAVL Tree,Rotations,278
10,34,Delete,RB Tree,Path,303
10,34,Delete,WAVL Tree,Path,326
10,35,Insert,RB Tree,Rotations,5856
10,35,Insert,WAVL Tree,Rotations,7010
10,35,Insert,RB Tree,Path,10196
10,35,Insert,WAVL Tree,Path,17800
10,35,Delete,RB Tree,Rotations,287
10,35,Delete,WAVL Tree,Rotations,302
10,35,Delete,RB Tree,Path,271
10,35,Delete,WAVL Tree,Path,292
10,36,Insert,RB Tree,Rotations,5933
10,36,Insert,WAVL Tree,Rotations,7040
10,36,Insert,RB Tree,Path,10150
10,36,Insert,WAVL Tree,Path,17824
10,36,Delete,RB Tree,Rotations,299
10,36,Delete,WAVL Tree,Rotations,329
10,36,Delete,RB Tree,Path,277
10,36,Delete,WAVL Tree,Path,302
10,37,Insert,RB Tree,Rotations,5843
10,37,Insert,WAVL Tree,Rotations,6938
10,37,Insert,RB Tree,Path,10142
10,37,Insert,WAVL Tree,Path,17758
10,37,Delete,RB Tree,Rotations,310
10,37,Delete,WAVL Tree,Rotations,268
10,37,Delete,RB Tree,Path,289
10,37,Delete,WAVL Tree,Path,321
10,38,Insert,RB Tree,Rotations,5850
10,38,Insert,WAVL Tree,Rotations,6820
10,38,Insert,RB Tree,Path,10232
10,38,Insert,WAVL Tree,Path,17729
10,38,Delete,RB Tree,Rotations,282
10,38,Delete,WAVL Tree,Rotations,281
10,38,Delete,RB Tree,Path,263
10,38,Delete,WAVL Tree,Path,297
10,39,Insert,RB Tree,Rotations,5811
10,39,Insert,WAVL Tree,Rotations,7015
10,39,Insert,RB Tree,Path,10182
10,39,Insert,WAVL Tree,Path,17805
10,39,Delete,RB Tree,Rotations,280
10,39,Delete,WAVL Tree,Rotations,301
10,39,Delete,RB Tree,Path,278
10,39,Delete,WAVL Tree,Path,272
10,40,Insert,RB Tree,Rotations,5814
10,40,Insert,WAVL Tree,Rotations,7002
10,40,Insert,RB Tree,Path,10238
10,40,Insert,WAVL Tree,Path,17855
10,40,Delete,RB Tree,Rotations,284
10,40,Delete,WAVL Tree,Rotations,288
10,40,Delete,RB Tree,Path,274
10,40,Delete,WAVL Tree,Path,299
10,41,Insert,RB Tree,Rotations,5855
10,41,Insert,WAVL Tree,Rotations,6947
10,41,Insert,RB Tree,Path,10230
10,41,Insert,WAVL Tree,Path,17773
10,41,Delete,RB Tree,Rotations,322
10,41,Delete,WAVL Tree,Rotations,323
10,41,Delete,RB Tree,Path,307
10,41,Delete,WAVL Tree,Path,289
10,42,Insert,RB Tree,Rotations,5782
10,42,Insert,WAVL Tree,Rotations,7038
10,42,Insert,RB Tree,Path,10216
