Ratio,Run,Phase,Tree,Metric,Value_ns
10,16,Lookup,RB Tree,Latency,1006
10,16,Lookup,WAVL Tree,Latency,1031
10,16,Delete,RB Tree,Latency,1006
10,16,Delete,WAVL Tree,Latency,1008
10,16,Traversal,RB Tree,Latency,72147111
10,16,Traversal,WAVL Tree,Latency,74892624
10,17,Insert,RB Tree,Latency,1004
10,17,Insert,WAVL Tree,Latency,1049
10,17,Lookup,RB Tree,Latency,1007
10,17,Lookup,WAVL Tree,Latency,1031
10,17,Delete,RB Tree,Latency,1007
10,17,Delete,WAVL Tree,Latency,1014
10,17,Traversal,RB Tree,Latency,73161348
10,17,Traversal,WAVL Tree,Latency,72827021
10,18,Insert,RB Tree,Latency,1001
10,18,Insert,WAVL Tree,Latency,1044
10,18,Lookup,RB Tree,Latency,1008
10,18,Lookup,WAVL Tree,Latency,1026
10,18,Delete,RB Tree,Latency,1009
10,18,Delete,WAVL Tree,Latency,1012
10,18,Traversal,RB Tree,Latency,73394345
10,18,Traversal,WAVL Tree,Latency,72774089
10,19,Insert,RB Tree,Latency,1001
10,19,Insert,WAVL Tree,Latency,1041
10,19,Lookup,RB Tree,Latency,1004
10,19,Lookup,WAVL Tree,Latency,1027
10,19,Delete,RB Tree,Latency,1009
10,19,Delete,WAVL Tree,Latency,1011
10,19,Traversal,RB Tree,Latency,75898916
10,19,Traversal,WAVL Tree,Latency,76978655
10,20,Insert,RB Tree,Latency,1001
10,20,Insert,WAVL Tree,Latency,1041
10,20,Lookup,RB Tree,Latency,1007
10,20,Lookup,WAVL Tree,Latency,1027
10,20,Delete,RB Tree,Latency,1009
10,20,Delete,WAVL Tree,Latency,1013
10,20,Traversal,RB Tree,Latency,71740178
10,20,Traversal,WAVL Tree,Latency,71077528
10,21,Insert,RB Tree,Latency,1001
10,21,Insert,WAVL Tree,Latency,1042
10,21,Lookup,RB Tree,Latency,1006
10,21,Lookup,WAVL Tree,Latency,1029
10,21,Delete,RB Tree,Latency,1005
10,21,Delete,WAVL Tree,Latency,1009
10,21,Traversal,RB Tree,Latency,75856183
10,21,Traversal,WAVL Tree,Latency,77101306
10,22,Insert,RB Tree,Latency,1002
10,22,Insert,WAVL Tree,Latency,1043
10,22,Lookup,RB Tree,Latency,1006
10,22,Lookup,WAVL Tree,Latency,1034
10,22,Delete,RB Tree,Latency,1002
10,22,Delete,WAVL Tree,Latency,1006
10,22,Traversal,RB Tree,Latency,73249795
10,22,Traversal,WAVL Tree,Latency,72553483
10,23,Insert,RB Tree,Latency,1006
10,23,Insert,WAVL Tree,Latency,1046
10,23,Lookup,RB Tree,Latency,1009
10,23,Lookup,WAVL Tree,Latency,1027
10,23,Delete,RB Tree,Latency,1007
10,23,Delete,WAVL Tree,Latency,1015
10,23,Traversal,RB Tree,Latency,72666557
10,23,Traversal,WAVL Tree,Latency,72380979
10,24,Insert,RB Tree,Latency,1006
10,24,Insert,WAVL Tree,Latency,1045
10,24,Lookup,RB Tree,Latency,1010
10,24,Lookup,WAVL Tree,Latency,1029
10,24,Delete,RB Tree,Latency,1008
10,24,Delete,WAVL Tree,Latency,1011
10,24,Traversal,RB Tree,Latency,71615734
10,24,Traversal,WAVL Tree,Latency,71885600
10,25,Insert,RB Tree,Latency,1001
10,25,Insert,WAVL Tree,Latency,1042
10,25,Lookup,RB Tree,Latency,1010
10,25,Lookup,WAVL Tree,Latency,1031
10,25,Delete,RB Tree,Latency,1008
10,25,Delete,WAVL Tree,Latency,1012
10,25,Traversal,RB Tree,Latency,73330679
10,25,Traversal,WAVL Tree,Latency,72950256
10,26,Insert,RB Tree,Latency,1004
10,26,Insert,WAVL Tree,Latency,1044
10,26,Lookup,RB Tree,Latency,1007
10,26,Lookup,WAVL Tree,Latency,1029
10,26,Delete,RB Tree,Latency,1006
10,26,Delete,WAVL Tree,Latency,1011
10,26,Traversal,RB Tree,Latency,74176244
10,26,Traversal,WAVL Tree,Latency,73473994
10,27,Insert,RB Tree,Latency,1003
10,27,Insert,WAVL Tree,Latency,1043
10,27,Lookup,RB Tree,Latency,1004
10,27,Lookup,WAVL Tree,Latency,1029
10,27,Delete,RB Tree,Latency,1008
10,27,Delete,WAVL Tree,Latency,1011
10,27,Traversal,RB Tree,Latency,74499330
10,27,Traversal,WAVL Tree,Latency,74050253
10,28,Insert,RB Tree,Latency,1003
10,28,Insert,WAVL Tree,Latency,1043
10,28,Lookup,RB Tree,Latency,1008
10,28,Lookup,WAVL Tree,Latency,1031
10,28,Delete,RB Tree,Latency,1007
10,28,Delete,WAVL Tree,Latency,1013
10,28,Traversal,RB Tree,Latency,73250016
10,28,Traversal,WAVL Tree,Latency,77574913
10,29,Insert,RB Tree,Latency,1003
10,29,Insert,WAVL Tree,Latency,1046
10,29,Lookup,RB Tree,Latency,1007
10,29,Lookup,WAVL Tree,Latency,1035
10,29,Delete,RB Tree,Latency,1008
10,29,Delete,WAVL Tree,Latency,1011
10,29,Traversal,RB Tree,Latency,71881974
10,29,Traversal,WAVL Tree,Latency,71402936
10,30,Insert,RB Tree,Latency,1002
10,30,Insert,WAVL Tree,Latency,1042
