PoolSize,Run,Phase,Tree,Metric,Value_ns
250000,1,Mixed,RB Tree,Latency,245
250000,1,Mixed,WAVL Tree,Latency,249
250000,2,Mixed,RB Tree,Latency,234
250000,2,Mixed,WAVL Tree,Latency,262
250000,3,Mixed,RB Tree,Latency,243
250000,3,Mixed,WAVL Tree,Latency,250
250000,4,Mixed,RB Tree,Latency,236
250000,4,Mixed,WAVL Tree,Latency,258
250000,5,Mixed,RB Tree,Latency,242
250000,5,Mixed,WAVL Tree,Latency,251
250000,6,Mixed,RB Tree,Latency,238
250000,6,Mixed,WAVL Tree,Latency,257
250000,7,Mixed,RB Tree,Latency,242
250000,7,Mixed,WAVL Tree,Latency,250
250000,8,Mixed,RB Tree,Latency,236
250000,8,Mixed,WAVL Tree,Latency,257
250000,9,Mixed,RB Tree,Latency,238
250000,9,Mixed,WAVL Tree,Latency,251
250000,10,Mixed,RB Tree,Latency,237
250000,10,Mixed,WAVL Tree,Latency,256
250000,11,Mixed,RB Tree,Latency,242
250000,11,Mixed,WAVL Tree,Latency,251
250000,12,Mixed,RB Tree,Latency,237
250000,12,Mixed,WAVL Tree,Latency,255
250000,13,Mixed,RB Tree,Latency,241
250000,13,Mixed,WAVL Tree,Latency,251
250000,14,Mixed,RB Tree,Latency,237
250000,14,Mixed,WAVL Tree,Latency,256
250000,15,Mixed,RB Tree,Latency,243
250000,15,Mixed,WAVL Tree,Latency,254
250000,16,Mixed,RB Tree,Latency,236
250000,16,Mixed,WAVL Tree,Latency,256
250000,17,Mixed,RB Tree,Latency,242
250000,17,Mixed,WAVL Tree,Latency,250
250000,18,Mixed,RB Tree,Latency,237
250000,18,Mixed,WAVL Tree,Latency,256
250000,19,Mixed,RB Tree,Latency,242
250000,19,Mixed,WAVL Tree,Latency,251
250000,20,Mixed,RB Tree,Latency,237
250000,20,Mixed,WAVL Tree,Latency,254
500000,1,Mixed,RB Tree,Latency,260
500000,1,Mixed,WAVL Tree,Latency,269
500000,2,Mixed,RB Tree,Latency,257
500000,2,Mixed,WAVL Tree,Latency,278
500000,3,Mixed,RB Tree,Latency,261
500000,3,Mixed,WAVL Tree,Latency,271
500000,4,Mixed,RB Tree,Latency,262
500000,4,Mixed,WAVL Tree,Latency,276
500000,5,Mixed,RB Tree,Latency,263
500000,5,Mixed,WAVL Tree,Latency,271
500000,6,Mixed,RB Tree,Latency,257
500000,6,Mixed,WAVL Tree,Latency,274
500000,7,Mixed,RB Tree,Latency,258
500000,7,Mixed,WAVL Tree,Latency,271
500000,8,Mixed,RB Tree,Latency,258
500000,8,Mixed,WAVL Tree,Latency,275
