Ratio,Run,Tree,Metric,Value
10,23,RB Tree,L1 Misses,27883090
10,23,RB Tree,LLC Misses,
10,23,RB Tree,Branch Misses,31682653
10,23,WAVL Tree,L1 Misses,28854093
10,23,WAVL Tree,LLC Misses,
10,23,WAVL Tree,Branch Misses,33930898
10,24,RB Tree,L1 Misses,28649637
10,24,RB Tree,LLC Misses,
10,24,RB Tree,Branch Misses,31671083
10,24,WAVL Tree,L1 Misses,28666689
10,24,WAVL Tree,LLC Misses,
10,24,WAVL Tree,Branch Misses,33944446
10,25,RB Tree,L1 Misses,28323077
10,25,RB Tree,LLC Misses,
10,25,RB Tree,Branch Misses,31663580
10,25,WAVL Tree,L1 Misses,28712114
10,25,WAVL Tree,LLC Misses,
10,25,WAVL Tree,Branch Misses,33941453
10,26,RB Tree,L1 Misses,28636566
10,26,RB Tree,LLC Misses,
10,26,RB Tree,Branch Misses,31654090
10,26,WAVL Tree,L1 Misses,28453339
10,26,WAVL Tree,LLC Misses,
10,26,WAVL Tree,Branch Misses,33938619
10,27,RB Tree,L1 Misses,28460431
10,27,RB Tree,LLC Misses,
10,27,RB Tree,Branch Misses,31675875
10,27,WAVL Tree,L1 Misses,28450482
10,27,WAVL Tree,LLC Misses,
10,27,WAVL Tree,Branch Misses,33902553
10,28,RB Tree,L1 Misses,29305939
10,28,RB Tree,LLC Misses,
10,28,RB Tree,Branch Misses,31681600
10,28,WAVL Tree,L1 Misses,29607774
10,28,WAVL Tree,LLC Misses,
10,28,WAVL Tree,Branch Misses,33922678
10,29,RB Tree,L1 Misses,28892013
10,29,RB Tree,LLC Misses,
10,29,RB Tree,Branch Misses,31696828
10,29,WAVL Tree,L1 Misses,28886903
10,29,WAVL Tree,LLC Misses,
10,29,WAVL Tree,Branch Misses,33887507
10,30,RB Tree,L1 Misses,28256145
10,30,RB Tree,LLC Misses,
10,30,RB Tree,Branch Misses,31689880
10,30,WAVL Tree,L1 Misses,28921761
10,30,WAVL Tree,LLC Misses,
10,30,WAVL Tree,Branch Misses,33935746
10,31,RB Tree,L1 Misses,28358824
10,31,RB Tree,LLC Misses,
10,31,RB Tree,Branch Misses,31664354
10,31,WAVL Tree,L1 Misses,28533480
10,31,WAVL Tree,LLC Misses,
10,31,WAVL Tree,Branch Misses,33912944
10,32,RB Tree,L1 Misses,37705014
10,32,RB Tree,LLC Misses,
10,32,RB Tree,Branch Misses,31665202
10,32,WAVL Tree,L1 Misses,28509671
10,32,WAVL Tree,LLC Misses,
10,32,WAVL Tree,Branch Misses,33946925
10,33,RB Tree,L1 Misses,28465724
10,33,RB Tree,LLC Misses,
10,33,RB Tree,Branch Misses,31664239
10,33,WAVL Tree,L1 Misses,28406941
10,33,WAVL Tree,LLC Misses,
10,33,WAVL Tree,Branch Misses,33936444
10,34,RB Tree,L1 Misses,28775659
