Mode,Ratio,Run,Tree,Metric,Value
seq,10,20,RB Tree,LLC Misses,
seq,10,20,RB Tree,Branch Misses,18924659
seq,10,20,WAVL Tree,L1 Misses,3263445
seq,10,20,WAVL Tree,LLC Misses,
seq,10,20,WAVL Tree,Branch Misses,22086282
seq,20,1,RB Tree,L1 Misses,3474704
seq,20,1,RB Tree,LLC Misses,
seq,20,1,RB Tree,Branch Misses,20203662
seq,20,1,WAVL Tree,L1 Misses,3307186
seq,20,1,WAVL Tree,LLC Misses,
seq,20,1,WAVL Tree,Branch Misses,23411720
seq,20,2,RB Tree,L1 Misses,3567455
seq,20,2,RB Tree,LLC Misses,
seq,20,2,RB Tree,Branch Misses,20141305
seq,20,2,WAVL Tree,L1 Misses,3298847
seq,20,2,WAVL Tree,LLC Misses,
seq,20,2,WAVL Tree,Branch Misses,23395653
seq,20,3,RB Tree,L1 Misses,3462043
seq,20,3,RB Tree,LLC Misses,
seq,20,3,RB Tree,Branch Misses,20180590
seq,20,3,WAVL Tree,L1 Misses,3287404
seq,20,3,WAVL Tree,LLC Misses,
seq,20,3,WAVL Tree,Branch Misses,23389533
seq,20,4,RB Tree,L1 Misses,3380519
seq,20,4,RB Tree,LLC Misses,
seq,20,4,RB Tree,Branch Misses,20187903
seq,20,4,WAVL Tree,L1 Misses,3378785
seq,20,4,WAVL Tree,LLC Misses,
seq,20,4,WAVL Tree,Branch Misses,23428924
seq,20,5,RB Tree,L1 Misses,3478112
seq,20,5,RB Tree,LLC Misses,
seq,20,5,RB Tree,Branch Misses,20195609
seq,20,5,WAVL Tree,L1 Misses,3281123
seq,20,5,WAVL Tree,LLC Misses,
seq,20,5,WAVL Tree,Branch Misses,23374369
seq,20,6,RB Tree,L1 Misses,3396517
seq,20,6,RB Tree,LLC Misses,
seq,20,6,RB Tree,Branch Misses,20170889
seq,20,6,WAVL Tree,L1 Misses,3367300
seq,20,6,WAVL Tree,LLC Misses,
seq,20,6,WAVL Tree,Branch Misses,23408444
seq,20,7,RB Tree,L1 Misses,3480836
seq,20,7,RB Tree,LLC Misses,
seq,20,7,RB Tree,Branch Misses,20154959
seq,20,7,WAVL Tree,L1 Misses,3277481
seq,20,7,WAVL Tree,LLC Misses,
seq,20,7,WAVL Tree,Branch Misses,23404530
seq,20,8,RB Tree,L1 Misses,3389994
seq,20,8,RB Tree,LLC Misses,
seq,20,8,RB Tree,Branch Misses,20174161
seq,20,8,WAVL Tree,L1 Misses,3300185
seq,20,8,WAVL Tree,LLC Misses,
seq,20,8,WAVL Tree,Branch Misses,23339405
seq,20,9,RB Tree,L1 Misses,3823908
seq,20,9,RB Tree,LLC Misses,
seq,20,9,RB Tree,Branch Misses,20180865
seq,20,9,WAVL Tree,L1 Misses,3320468
seq,20,9,WAVL Tree,LLC Misses,
seq,20,9,WAVL Tree,Branch Misses,23394595
seq,20,10,RB Tree,L1 Misses,3477360
seq,20,10,RB Tree,LLC Misses,
seq,20,10,RB Tree,Branch Misses,20242449
seq,20,10,WAVL Tree,L1 Misses,3282905
seq,20,10,WAVL Tree,LLC Misses,
seq,20,10,WAVL Tree,Branch Misses,23414481
seq,20,11,RB Tree,L1 Misses,3508869
seq,20,11,RB Tree,LLC Misses,
seq,20,11,RB Tree,Branch Misses,20166950
seq,20,11,WAVL Tree,L1 Misses,3236130
seq,20,11,WAVL Tree,LLC Misses,
seq,20,11,WAVL Tree,Branch Misses,23388114
seq,20,12,RB Tree,L1 Misses,3463812
seq,20,12,RB Tree,LLC Misses,
seq,20,12,RB Tree,Branch Misses,20119083
seq,20,12,WAVL Tree,L1 Misses,3272287
seq,20,12,WAVL Tree,LLC Misses,
seq,20,12,WAVL Tree,Branch Misses,23348431
seq,20,13,RB Tree,L1 Misses,3443892
seq,20,13,RB Tree,LLC Misses,
seq,20,13,RB Tree,Branch Misses,20243236
seq,20,13,WAVL Tree,L1 Misses,3352412
seq,20,13,WAVL Tree,LLC Misses,
seq,20,13,WAVL Tree,Branch Misses,23405684
seq,20,14,RB Tree,L1 Misses,3537156
seq,20,14,RB Tree,LLC Misses,
seq,20,14,RB Tree,Branch Misses,20259659
seq,20,14,WAVL Tree,L1 Misses,4633907
seq,20,14,WAVL Tree,LLC Misses,
seq,20,14,WAVL Tree,Branch Misses,23446382
seq,20,15,RB Tree,L1 Misses,3518066
seq,20,15,RB Tree,LLC Misses,
seq,20,15,RB Tree,Branch Misses,20185517
seq,20,15,WAVL Tree,L1 Misses,3322648
seq,20,15,WAVL Tree,LLC Misses,
seq,20,15,WAVL Tree,Branch Misses,23433114
seq,20,16,RB Tree,L1 Misses,3428731
seq,20,16,RB Tree,LLC Misses,
seq,20,16,RB Tree,Branch Misses,20247990
seq,20,16,WAVL Tree,L1 Misses,3286250
seq,20,16,WAVL Tree,LLC Misses,
seq,20,16,WAVL Tree,Branch Misses,23379468
seq,20,17,RB Tree,L1 Misses,3478099
seq,20,17,RB Tree,LLC Misses,
seq,20,17,RB Tree,Branch Misses,20201567
seq,20,17,WAVL Tree,L1 Misses,3322639
seq,20,17,WAVL Tree,LLC Misses,
seq,20,17,WAVL Tree,Branch Misses,23415316
seq,20,18,RB Tree,L1 Misses,3410712
