Ratio,Run,Phase,Tree,Metric,Value_ns
10,16,Traversal,WAVL Tree,Latency,129505
10,17,Insert,RB Tree,Latency,108
10,17,Insert,WAVL Tree,Latency,127
10,17,Lookup,RB Tree,Latency,97
10,17,Lookup,WAVL Tree,Latency,98
10,17,Delete,RB Tree,Latency,56
10,17,Delete,WAVL Tree,Latency,63
10,17,Traversal,RB Tree,Latency,126369
10,17,Traversal,WAVL Tree,Latency,122271
10,18,Insert,RB Tree,Latency,111
10,18,Insert,WAVL Tree,Latency,127
10,18,Lookup,RB Tree,Latency,96
10,18,Lookup,WAVL Tree,Latency,96
10,18,Delete,RB Tree,Latency,54
10,18,Delete,WAVL Tree,Latency,62
10,18,Traversal,RB Tree,Latency,127302
10,18,Traversal,WAVL Tree,Latency,123364
10,19,Insert,RB Tree,Latency,107
10,19,Insert,WAVL Tree,Latency,126
10,19,Lookup,RB Tree,Latency,96
10,19,Lookup,WAVL Tree,Latency,97
10,19,Delete,RB Tree,Latency,54
10,19,Delete,WAVL Tree,Latency,61
10,19,Traversal,RB Tree,Latency,127522
10,19,Traversal,WAVL Tree,Latency,124897
10,20,Insert,RB Tree,Latency,107
10,20,Insert,WAVL Tree,Latency,125
10,20,Lookup,RB Tree,Latency,101
10,20,Lookup,WAVL Tree,Latency,98
10,20,Delete,RB Tree,Latency,54
10,20,Delete,WAVL Tree,Latency,63
10,20,Traversal,RB Tree,Latency,130638
10,20,Traversal,WAVL Tree,Latency,124406
10,21,Insert,RB Tree,Latency,110
10,21,Insert,WAVL Tree,Latency,128
10,21,Lookup,RB Tree,Latency,95
10,21,Lookup,WAVL Tree,Latency,97
10,21,Delete,RB Tree,Latency,53
10,21,Delete,WAVL Tree,Latency,61
10,21,Traversal,RB Tree,Latency,126650
10,21,Traversal,WAVL Tree,Latency,148932
10,22,Insert,RB Tree,Latency,108
10,22,Insert,WAVL Tree,Latency,127
10,22,Lookup,RB Tree,Latency,97
10,22,Lookup,WAVL Tree,Latency,97
10,22,Delete,RB Tree,Latency,55
10,22,Delete,WAVL Tree,Latency,62
10,22,Traversal,RB Tree,Latency,129976
10,22,Traversal,WAVL Tree,Latency,127211
10,23,Insert,RB Tree,Latency,108
10,23,Insert,WAVL Tree,Latency,126
10,23,Lookup,RB Tree,Latency,96
10,23,Lookup,WAVL Tree,Latency,98
10,23,Delete,RB Tree,Latency,55
10,23,Delete,WAVL Tree,Latency,62
10,23,Traversal,RB Tree,Latency,128864
10,23,Traversal,WAVL Tree,Latency,125257
10,24,Insert,RB Tree,Latency,108
10,24,Insert,WAVL Tree,Latency,126
10,24,Lookup,RB Tree,Latency,96
10,24,Lookup,WAVL Tree,Latency,97
10,24,Delete,RB Tree,Latency,54
10,24,Delete,WAVL Tree,Latency,62
10,24,Traversal,RB Tree,Latency,128423
