Ratio,Run,Phase,Tree,Metric,Value
10,17,Insert,WAVL Tree,Rotations,6974
10,17,Insert,RB Tree,Path,10252
10,17,Insert,WAVL Tree,Path,17824
10,17,Delete,RB Tree,Rotations,330
10,17,Delete,WAVL Tree,Rotations,307
10,17,Delete,RB Tree,Path,312
10,17,Delete,WAVL Tree,Path,283
10,18,Insert,RB Tree,Rotations,5822
10,18,Insert,WAVL Tree,Rotations,6901
10,18,Insert,RB Tree,Path,10262
10,18,Insert,WAVL Tree,Path,17773
10,18,Delete,RB Tree,Rotations,348
10,18,Delete,WAVL Tree,Rotations,304
10,18,Delete,RB Tree,Path,314
10,18,Delete,WAVL Tree,Path,298
10,19,Insert,RB Tree,Rotations,5781
10,19,Insert,WAVL Tree,Rotations,7046
10,19,Insert,RB Tree,Path,10286
10,19,Insert,WAVL Tree,Path,17814
10,19,Delete,RB Tree,Rotations,331
10,19,Delete,WAVL Tree,Rotations,262
10,19,Delete,RB Tree,Path,302
10,19,Delete,WAVL Tree,Path,273
10,20,Insert,RB Tree,Rotations,5682
10,20,Insert,WAVL Tree,Rotations,6929
10,20,Insert,RB Tree,Path,10176
10,20,Insert,WAVL Tree,Path,17823
10,20,Delete,RB Tree,Rotations,322
10,20,Delete,WAVL Tree,Rotations,296
10,20,Delete,RB Tree,Path,280
10,20,Delete,WAVL Tree,Path,308
10,21,Insert,RB Tree,Rotations,5892
10,21,Insert,WAVL Tree,Rotations,7043
10,21,Insert,RB Tree,Path,10260
10,21,Insert,WAVL Tree,Path,17839
10,21,Delete,RB Tree,Rotations,304
10,21,Delete,WAVL Tree,Rotations,304
10,21,Delete,RB Tree,Path,301
10,21,Delete,WAVL Tree,Path,304
10,22,Insert,RB Tree,Rotations,5905
10,22,Insert,WAVL Tree,Rotations,7131
10,22,Insert,RB Tree,Path,10214
10,22,Insert,WAVL Tree,Path,17976
10,22,Delete,RB Tree,Rotations,289
10,22,Delete,WAVL Tree,Rotations,324
10,22,Delete,RB Tree,Path,277
10,22,Delete,WAVL Tree,Path,277
10,23,Insert,RB Tree,Rotations,5898
10,23,Insert,WAVL Tree,Rotations,7103
10,23,Insert,RB Tree,Path,10250
10,23,Insert,WAVL Tree,Path,17987
10,23,Delete,RB Tree,Rotations,338
10,23,Delete,WAVL Tree,Rotations,300
10,23,Delete,RB Tree,Path,312
10,23,Delete,WAVL Tree,Path,298
10,24,Insert,RB Tree,Rotations,5921
10,24,Insert,WAVL Tree,Rotations,7023
10,24,Insert,RB Tree,Path,10342
10,24,Insert,WAVL Tree,Path,17816
10,24,Delete,RB Tree,Rotations,290
10,24,Delete,WAVL Tree,Rotations,252
10,24,Delete,RB Tree,Path,279
10,24,Delete,WAVL Tree,Path,304
10,25,Insert,RB Tree,Rotations,5922
10,25,Insert,WAVL Tree,Rotations,7027
10,25,Insert,RB Tree,Path,10142
10,25,Insert,WAVL Tree,Path,17888
10,25,Delete,RB Tree,Rotations,277
10,25,Delete,WAVL Tree,Rotations,301
10,25,Delete,RB Tree,Path,273
10,25,Delete,WAVL Tree,Path,305
10,26,Insert,RB Tree,Rotations,5983
10,26,Insert,WAVL Tree,Rotations,7117
10,26,Insert,RB Tree,Path,10226
10,26,Insert,WAVL Tree,Path,17976
10,26,Delete,RB Tree,Rotations,347
10,26,Delete,WAVL Tree,Rotations,320
10,26,Delete,RB Tree,Path,310
10,26,Delete,WAVL Tree,Path,311
10,27,Insert,RB Tree,Rotations,5914
10,27,Insert,WAVL Tree,Rotations,6928
10,27,Insert,RB Tree,Path,10274
10,27,Insert,WAVL Tree,Path,17816
10,27,Delete,RB Tree,Rotations,331
10,27,Delete,WAVL Tree,Rotations,315
10,27,Delete,RB Tree,Path,310
10,27,Delete,WAVL Tree,Path,281
10,28,Insert,RB Tree,Rotations,5859
10,28,Insert,WAVL Tree,Rotations,6994
10,28,Insert,RB Tree,Path,10320
10,28,Insert,WAVL Tree,Path,17904
10,28,Delete,RB Tree,Rotations,351
10,28,Delete,WAVL Tree,Rotations,333
10,28,Delete,RB Tree,Path,327
10,28,Delete,WAVL Tree,Path,302
10,29,Insert,RB Tree,Rotations,5884
10,29,Insert,WAVL Tree,Rotations,7017
10,29,Insert,RB Tree,Path,10246
10,29,Insert,WAVL Tree,Path,17877
10,29,Delete,RB Tree,Rotations,303
10,29,Delete,WAVL Tree,Rotations,291
10,29,Delete,RB Tree,Path,282
10,29,Delete,WAVL Tree,Path,290
10,30,Insert,RB Tree,Rotations,5700
10,30,Insert,WAVL Tree,Rotations,6779
10,30,Insert,RB Tree,Path,10194
10,30,Insert,WAVL Tree,Path,17687
10,30,Delete,RB Tree,Rotations,334
10,30,Delete,WAVL Tree,Rotations,301
10,30,Delete,RB Tree,Path,310
10,30,Delete,WAVL Tree,Path,261
10,31,Insert,RB Tree,Rotations,5778
10,31,Insert,WAVL Tree,Rotations,6807
10,31,Insert,RB Tree,Path,10238
10,31,Insert,WAVL Tree,Path,17810
10,31,Delete,RB Tree,Rotations,289
10,31,Delete,WAVL Tree,Rotations,264
10,31,Delete,RB Tree,Path,277
10,31,Delete,WAVL Tree,Path,315
10,32,Insert,RB Tree,Rotations,5847
10,32,Insert,WAVL Tree,Rotations,6957
10,32,Insert,RB Tree,Path,10308
10,32,Insert,WAVL Tree,Path,17945
10,32,Delete,RB Tree,Rotations,340
10,32,Delete,WAVL Tree,Rotations,308
10,32,Delete,RB Tree,Path,310
10,32,Delete,WAVL Tree,Path,291
10,33,Insert,RB Tree,Rotations,5730
10,33,Insert,WAVL Tree,Rotations,7047
10,33,Insert,RB Tree,Path,10164
10,33,Insert,WAVL Tree,Path,17813
10,33,Delete,RB Tree,Rotations,285
10,33,Delete,WAVL Tree,Rotations,308
10,33,Delete,RB Tree,Path,278
10,33,Delete,WAVL Tree,Path,300
10,34,Insert,RB Tree,Rotations,5818
10,34,Insert,WAVL Tree,Rotations,7026
10,34,Insert,RB Tree,Path,10262
10,34,Insert,WAVL Tree,Path,17823
10,34,Delete,RB Tree,Rotations,297
10,34,Delete,WAVL Tree,Rotations,281
10,34,Delete,RB Tree,Path,277
10,34,Delete,WAVL Tree,Path,269
10,35,Insert,RB Tree,Rotations,5745
10,35,Insert,WAVL Tree,Rotations,6902
10,35,Insert,RB Tree,Path,10302
10,35,Insert,WAVL Tree,Path,17809
10,35,Delete,RB Tree,Rotations,327
10,35,Delete,WAVL Tree,Rotations,314
10,35,Delete,RB Tree,Path,309
10,35,Delete,WAVL Tree,Path,276
10,36,Insert,RB Tree,Rotations,5826
10,36,Insert,WAVL Tree,Rotations,7058
10,36,Insert,RB Tree,Path,10208
10,36,Insert,WAVL Tree,Path,17843
10,36,Delete,RB Tree,Rotations,308
10,36,Delete,WAVL Tree,Rotations,307
10,36,Delete,RB Tree,Path,289
10,36,Delete,WAVL Tree,Path,289
10,37,Insert,RB Tree,Rotations,5889
10,37,Insert,WAVL Tree,Rotations,6962
10,37,Insert,RB Tree,Path,10198
10,37,Insert,WAVL Tree,Path,17880
10,37,Delete,RB Tree,Rotations,296
10,37,Delete,WAVL Tree,Rotations,296
10,37,Delete,RB Tree,Path,284
10,37,Delete,WAVL Tree,Path,294
10,38,Insert,RB Tree,Rotations,5748
10,38,Insert,WAVL Tree,Rotations,7010
10,38,Insert,RB Tree,Path,10300
10,38,Insert,WAVL Tree,Path,17875
10,38,Delete,RB Tree,Rotations,319
10,38,Delete,WAVL Tree,Rotations,298
10,38,Delete,RB Tree,Path,286
10,38,Delete,WAVL Tree,Path,295
10,39,Insert,RB Tree,Rotations,5816
10,39,Insert,WAVL Tree,Rotations,6844
10,39,Insert,RB Tree,Path,10186
10,39,Insert,WAVL Tree,Path,17673
10,39,Delete,RB Tree,Rotations,286
10,39,Delete,WAVL Tree,Rotations,276
10,39,Delete,RB Tree,Path,286
10,39,Delete,WAVL Tree,Path,288
10,40,Insert,RB Tree,Rotations,5792
10,40,Insert,WAVL Tree,Rotations,6892
10,40,Insert,RB Tree,Path,10160
10,40,Insert,WAVL Tree,Path,17700
10,40,Delete,RB Tree,Rotations,319
10,40,Delete,WAVL Tree,Rotations,297
10,40,Delete,RB Tree,Path,290
10,40,Delete,WAVL Tree,Path,286
10,41,Insert,RB Tree,Rotations,5712
10,41,Insert,WAVL Tree,Rotations,6923
10,41,Insert,RB Tree,Path,10298
10,41,Insert,WAVL Tree,Path,17834
