Ratio,Run,Tree,Metric,Value
10,34,RB Tree,L1 Misses,141903
10,34,RB Tree,Branch Misses,301849
10,34,WAVL Tree,L1 Misses,144956
10,34,WAVL Tree,Branch Misses,329316
10,35,RB Tree,L1 Misses,141238
10,35,RB Tree,Branch Misses,302546
10,35,WAVL Tree,L1 Misses,144241
10,35,WAVL Tree,Branch Misses,324937
10,36,RB Tree,L1 Misses,142374
10,36,RB Tree,Branch Misses,304451
10,36,WAVL Tree,L1 Misses,143495
10,36,WAVL Tree,Branch Misses,325126
10,37,RB Tree,L1 Misses,142047
10,37,RB Tree,Branch Misses,305481
10,37,WAVL Tree,L1 Misses,144403
10,37,WAVL Tree,Branch Misses,324711
10,38,RB Tree,L1 Misses,140628
10,38,RB Tree,Branch Misses,306552
10,38,WAVL Tree,L1 Misses,144132
10,38,WAVL Tree,Branch Misses,325791
10,39,RB Tree,L1 Misses,141096
10,39,RB Tree,Branch Misses,301662
10,39,WAVL Tree,L1 Misses,146162
10,39,WAVL Tree,Branch Misses,327369
10,40,RB Tree,L1 Misses,140941
10,40,RB Tree,Branch Misses,302262
10,40,WAVL Tree,L1 Misses,145636
10,40,WAVL Tree,Branch Misses,328418
10,41,RB Tree,L1 Misses,139581
10,41,RB Tree,Branch Misses,301676
10,41,WAVL Tree,L1 Misses,145771
10,41,WAVL Tree,Branch Misses,328462
10,42,RB Tree,L1 Misses,140357
10,42,RB Tree,Branch Misses,302306
10,42,WAVL Tree,L1 Misses,144627
10,42,WAVL Tree,Branch Misses,324881
10,43,RB Tree,L1 Misses,142072
10,43,RB Tree,Branch Misses,304228
10,43,WAVL Tree,L1 Misses,144322
10,43,WAVL Tree,Branch Misses,325413
10,44,RB Tree,L1 Misses,141645
10,44,RB Tree,Branch Misses,307465
10,44,WAVL Tree,L1 Misses,144776
10,44,WAVL Tree,Branch Misses,325540
10,45,RB Tree,L1 Misses,141231
10,45,RB Tree,Branch Misses,306152
10,45,WAVL Tree,L1 Misses,144255
10,45,WAVL Tree,Branch Misses,324711
10,46,RB Tree,L1 Misses,142614
10,46,RB Tree,Branch Misses,305802
10,46,WAVL Tree,L1 Misses,146343
10,46,WAVL Tree,Branch Misses,328160
10,47,RB Tree,L1 Misses,140847
10,47,RB Tree,Branch Misses,307412
10,47,WAVL Tree,L1 Misses,143750
10,47,WAVL Tree,Branch Misses,326177
10,48,RB Tree,L1 Misses,141410
10,48,RB Tree,Branch Misses,304851
10,48,WAVL Tree,L1 Misses,144815
10,48,WAVL Tree,Branch Misses,325337
10,49,RB Tree,L1 Misses,141340
10,49,RB Tree,Branch Misses,306723
10,49,WAVL Tree,L1 Misses,145921
10,49,WAVL Tree,Branch Misses,329357
10,50,RB Tree,L1 Misses,139423
10,50,RB Tree,Branch Misses,301896
10,50,WAVL Tree,L1 Misses,145456
10,50,WAVL Tree,Branch Misses,328823
20,1,RB Tree,L1 Misses,150271
20,1,RB Tree,Branch Misses,321261
20,1,WAVL Tree,L1 Misses,152677
20,1,WAVL Tree,Branch Misses,345975
20,2,RB Tree,L1 Misses,147609
20,2,RB Tree,Branch Misses,320932
20,2,WAVL Tree,L1 Misses,153167
20,2,WAVL Tree,Branch Misses,345942
20,3,RB Tree,L1 Misses,150405
20,3,RB Tree,Branch Misses,324107
20,3,WAVL Tree,L1 Misses,152744
