PoolSize,Run,Tree,Metric,Value
50000,11,RB Tree,L1 Misses,1845914
50000,11,RB Tree,Branch Misses,2572683
50000,11,WAVL Tree,L1 Misses,1865785
50000,11,WAVL Tree,Branch Misses,2786617
50000,12,RB Tree,L1 Misses,1850948
50000,12,RB Tree,Branch Misses,2567806
50000,12,WAVL Tree,L1 Misses,1884778
50000,12,WAVL Tree,Branch Misses,2789375
50000,13,RB Tree,L1 Misses,1864574
50000,13,RB Tree,Branch Misses,2570245
50000,13,WAVL Tree,L1 Misses,1900313
50000,13,WAVL Tree,Branch Misses,2794637
50000,14,RB Tree,L1 Misses,1876149
50000,14,RB Tree,Branch Misses,2571894
50000,14,WAVL Tree,L1 Misses,1890762
50000,14,WAVL Tree,Branch Misses,2792418
50000,15,RB Tree,L1 Misses,1863197
50000,15,RB Tree,Branch Misses,2571602
50000,15,WAVL Tree,L1 Misses,1890905
50000,15,WAVL Tree,Branch Misses,2796479
50000,16,RB Tree,L1 Misses,1856906
50000,16,RB Tree,Branch Misses,2572332
50000,16,WAVL Tree,L1 Misses,1886687
50000,16,WAVL Tree,Branch Misses,2790145
50000,17,RB Tree,L1 Misses,1865226
50000,17,RB Tree,Branch Misses,2574530
50000,17,WAVL Tree,L1 Misses,1885965
50000,17,WAVL Tree,Branch Misses,2795713
50000,18,RB Tree,L1 Misses,1864009
50000,18,RB Tree,Branch Misses,2578821
50000,18,WAVL Tree,L1 Misses,1895275
50000,18,WAVL Tree,Branch Misses,2795348
50000,19,RB Tree,L1 Misses,1856018
50000,19,RB Tree,Branch Misses,2573474
50000,19,WAVL Tree,L1 Misses,1889999
50000,19,WAVL Tree,Branch Misses,2793047
50000,20,RB Tree,L1 Misses,1861932
50000,20,RB Tree,Branch Misses,2572554
50000,20,WAVL Tree,L1 Misses,1889101
50000,20,WAVL Tree,Branch Misses,2794142
100000,1,RB Tree,L1 Misses,2423635
100000,1,RB Tree,Branch Misses,3208815
100000,1,WAVL Tree,L1 Misses,2474318
100000,1,WAVL Tree,Branch Misses,3467412
100000,2,RB Tree,L1 Misses,2475761
100000,2,RB Tree,Branch Misses,3202806
100000,2,WAVL Tree,L1 Misses,2444002
100000,2,WAVL Tree,Branch Misses,3462481
100000,3,RB Tree,L1 Misses,2408895
100000,3,RB Tree,Branch Misses,3203047
100000,3,WAVL Tree,L1 Misses,2498625
100000,3,WAVL Tree,Branch Misses,3464119
100000,4,RB Tree,L1 Misses,2403929
100000,4,RB Tree,Branch Misses,3199798
100000,4,WAVL Tree,L1 Misses,2444854
100000,4,WAVL Tree,Branch Misses,3460476
100000,5,RB Tree,L1 Misses,2403243
100000,5,RB Tree,Branch Misses,3202992
100000,5,WAVL Tree,L1 Misses,2437083
100000,5,WAVL Tree,Branch Misses,3468693
100000,6,RB Tree,L1 Misses,2404242
100000,6,RB Tree,Branch Misses,3200914
100000,6,WAVL Tree,L1 Misses,2437736
100000,6,WAVL Tree,Branch Misses,3464243
100000,7,RB Tree,L1 Misses,2431127
100000,7,RB Tree,Branch Misses,3205467
100000,7,WAVL Tree,L1 Misses,2439446
