Run,Phase,Tree,Metric,Value
86,Delete,WAVL Tree,Path,921700
87,Insert,RB Tree,Rotations,588625
87,Insert,WAVL Tree,Rotations,703198
87,Insert,RB Tree,Path,1030644
87,Insert,WAVL Tree,Path,1790623
87,Delete,RB Tree,Rotations,184424
87,Delete,WAVL Tree,Rotations,223989
87,Delete,RB Tree,Path,617846
87,Delete,WAVL Tree,Path,922540
88,Insert,RB Tree,Rotations,588025
88,Insert,WAVL Tree,Rotations,705380
88,Insert,RB Tree,Path,1030510
88,Insert,WAVL Tree,Path,1792646
88,Delete,RB Tree,Rotations,185038
88,Delete,WAVL Tree,Rotations,225397
88,Delete,RB Tree,Path,618000
88,Delete,WAVL Tree,Path,922628
89,Insert,RB Tree,Rotations,589199
89,Insert,WAVL Tree,Rotations,703590
89,Insert,RB Tree,Path,1030402
89,Insert,WAVL Tree,Path,1791127
89,Delete,RB Tree,Rotations,184305
89,Delete,WAVL Tree,Rotations,223535
89,Delete,RB Tree,Path,617219
89,Delete,WAVL Tree,Path,921764
90,Insert,RB Tree,Rotations,588880
90,Insert,WAVL Tree,Rotations,703191
90,Insert,RB Tree,Path,1030706
90,Insert,WAVL Tree,Path,1790335
90,Delete,RB Tree,Rotations,183878
90,Delete,WAVL Tree,Rotations,223602
90,Delete,RB Tree,Path,617416
90,Delete,WAVL Tree,Path,922213
91,Insert,RB Tree,Rotations,588540
91,Insert,WAVL Tree,Rotations,703001
91,Insert,RB Tree,Path,1030138
91,Insert,WAVL Tree,Path,1790508
91,Delete,RB Tree,Rotations,184695
91,Delete,WAVL Tree,Rotations,223335
91,Delete,RB Tree,Path,617520
91,Delete,WAVL Tree,Path,922715
92,Insert,RB Tree,Rotations,587505
92,Insert,WAVL Tree,Rotations,703507
92,Insert,RB Tree,Path,1030378
92,Insert,WAVL Tree,Path,1790613
92,Delete,RB Tree,Rotations,184349
92,Delete,WAVL Tree,Rotations,224330
92,Delete,RB Tree,Path,617757
92,Delete,WAVL Tree,Path,921486
93,Insert,RB Tree,Rotations,589405
93,Insert,WAVL Tree,Rotations,704629
93,Insert,RB Tree,Path,1030438
93,Insert,WAVL Tree,Path,1791533
93,Delete,RB Tree,Rotations,183919
93,Delete,WAVL Tree,Rotations,224575
93,Delete,RB Tree,Path,616972
93,Delete,WAVL Tree,Path,921596
94,Insert,RB Tree,Rotations,588363
94,Insert,WAVL Tree,Rotations,703591
94,Insert,RB Tree,Path,1030782
94,Insert,WAVL Tree,Path,1791174
94,Delete,RB Tree,Rotations,183528
94,Delete,WAVL Tree,Rotations,224011
94,Delete,RB Tree,Path,617240
94,Delete,WAVL Tree,Path,922089
95,Insert,RB Tree,Rotations,587647
95,Insert,WAVL Tree,Rotations,703787
95,Insert,RB Tree,Path,1030604
95,Insert,WAVL Tree,Path,1791644
95,Delete,RB Tree,Rotations,184874
95,Delete,WAVL Tree,Rotations,224587
95,Delete,RB Tree,Path,617674
95,Delete,WAVL Tree,Path,922085
96,Insert,RB Tree,Rotations,588066
96,Insert,WAVL Tree,Rotations,702770
96,Insert,RB Tree,Path,1030148
96,Insert,WAVL Tree,Path,1790589
96,Delete,RB Tree,Rotations,184100
96,Delete,WAVL Tree,Rotations,223541
96,Delete,RB Tree,Path,617198
96,Delete,WAVL Tree,Path,923023
97,Insert,RB Tree,Rotations,587527
97,Insert,WAVL Tree,Rotations,702088
97,Insert,RB Tree,Path,1031008
97,Insert,WAVL Tree,Path,1790135
97,Delete,RB Tree,Rotations,184874
97,Delete,WAVL Tree,Rotations,223914
97,Delete,RB Tree,Path,618369
97,Delete,WAVL Tree,Path,922166
98,Insert,RB Tree,Rotations,590110
98,Insert,WAVL Tree,Rotations,705055
98,Insert,RB Tree,Path,1030720
98,Insert,WAVL Tree,Path,1792187
98,Delete,RB Tree,Rotations,183850
98,Delete,WAVL Tree,Rotations,224064
98,Delete,RB Tree,Path,617572
98,Delete,WAVL Tree,Path,922460
99,Insert,RB Tree,Rotations,588790
99,Insert,WAVL Tree,Rotations,704087
99,Insert,RB Tree,Path,1030646
99,Insert,WAVL Tree,Path,1791020
99,Delete,RB Tree,Rotations,184526
99,Delete,WAVL Tree,Rotations,224100
99,Delete,RB Tree,Path,617865
99,Delete,WAVL Tree,Path,921947
100,Insert,RB Tree,Rotations,587732
100,Insert,WAVL Tree,Rotations,702967
100,Insert,RB Tree,Path,1030966
100,Insert,WAVL Tree,Path,1790860
100,Delete,RB Tree,Rotations,184615
100,Delete,WAVL Tree,Rotations,223674
100,Delete,RB Tree,Path,618091
100,Delete,WAVL Tree,Path,922393
