Run,Phase,Tree,Metric,Value
18,Insert,WAVL Tree,Rotations,702924
18,Insert,RB Tree,Path,1030448
18,Insert,WAVL Tree,Path,1790827
18,Delete,RB Tree,Rotations,184707
18,Delete,WAVL Tree,Rotations,223617
18,Delete,RB Tree,Path,617592
18,Delete,WAVL Tree,Path,922260
19,Insert,RB Tree,Rotations,588555
19,Insert,WAVL Tree,Rotations,703279
19,Insert,RB Tree,Path,1031404
19,Insert,WAVL Tree,Path,1790860
19,Delete,RB Tree,Rotations,185698
19,Delete,WAVL Tree,Rotations,223514
19,Delete,RB Tree,Path,618997
19,Delete,WAVL Tree,Path,921819
20,Insert,RB Tree,Rotations,589431
20,Insert,WAVL Tree,Rotations,705621
20,Insert,RB Tree,Path,1030836
20,Insert,WAVL Tree,Path,1792868
20,Delete,RB Tree,Rotations,185058
20,Delete,WAVL Tree,Rotations,226360
20,Delete,RB Tree,Path,618158
20,Delete,WAVL Tree,Path,920923
21,Insert,RB Tree,Rotations,588791
21,Insert,WAVL Tree,Rotations,704269
21,Insert,RB Tree,Path,1031854
21,Insert,WAVL Tree,Path,1791542
21,Delete,RB Tree,Rotations,184442
21,Delete,WAVL Tree,Rotations,224523
21,Delete,RB Tree,Path,618495
21,Delete,WAVL Tree,Path,922619
22,Insert,RB Tree,Rotations,586316
22,Insert,WAVL Tree,Rotations,702849
22,Insert,RB Tree,Path,1031092
22,Insert,WAVL Tree,Path,1790827
22,Delete,RB Tree,Rotations,182807
22,Delete,WAVL Tree,Rotations,223357
22,Delete,RB Tree,Path,617455
22,Delete,WAVL Tree,Path,923457
23,Insert,RB Tree,Rotations,587531
23,Insert,WAVL Tree,Rotations,703640
23,Insert,RB Tree,Path,1030324
23,Insert,WAVL Tree,Path,1790142
23,Delete,RB Tree,Rotations,185205
23,Delete,WAVL Tree,Rotations,223932
23,Delete,RB Tree,Path,617715
23,Delete,WAVL Tree,Path,921720
24,Insert,RB Tree,Rotations,588405
24,Insert,WAVL Tree,Rotations,703262
24,Insert,RB Tree,Path,1031620
24,Insert,WAVL Tree,Path,1791145
24,Delete,RB Tree,Rotations,184638
24,Delete,WAVL Tree,Rotations,224476
24,Delete,RB Tree,Path,618465
24,Delete,WAVL Tree,Path,921881
25,Insert,RB Tree,Rotations,588021
25,Insert,WAVL Tree,Rotations,704900
25,Insert,RB Tree,Path,1030590
25,Insert,WAVL Tree,Path,1790695
25,Delete,RB Tree,Rotations,184482
25,Delete,WAVL Tree,Rotations,223313
25,Delete,RB Tree,Path,617411
25,Delete,WAVL Tree,Path,920659
26,Insert,RB Tree,Rotations,586954
26,Insert,WAVL Tree,Rotations,702014
26,Insert,RB Tree,Path,1030108
26,Insert,WAVL Tree,Path,1789836
26,Delete,RB Tree,Rotations,183845
26,Delete,WAVL Tree,Rotations,223905
26,Delete,RB Tree,Path,617156
26,Delete,WAVL Tree,Path,922500
27,Insert,RB Tree,Rotations,587536
27,Insert,WAVL Tree,Rotations,704147
27,Insert,RB Tree,Path,1030546
27,Insert,WAVL Tree,Path,1791399
27,Delete,RB Tree,Rotations,184227
27,Delete,WAVL Tree,Rotations,223614
27,Delete,RB Tree,Path,617934
27,Delete,WAVL Tree,Path,922439
28,Insert,RB Tree,Rotations,588035
28,Insert,WAVL Tree,Rotations,703357
28,Insert,RB Tree,Path,1029826
28,Insert,WAVL Tree,Path,1789924
28,Delete,RB Tree,Rotations,183718
28,Delete,WAVL Tree,Rotations,222076
28,Delete,RB Tree,Path,616715
28,Delete,WAVL Tree,Path,923023
29,Insert,RB Tree,Rotations,587592
29,Insert,WAVL Tree,Rotations,703017
29,Insert,RB Tree,Path,1029516
29,Insert,WAVL Tree,Path,1790816
29,Delete,RB Tree,Rotations,184351
29,Delete,WAVL Tree,Rotations,223522
29,Delete,RB Tree,Path,616914
29,Delete,WAVL Tree,Path,922836
30,Insert,RB Tree,Rotations,588448
30,Insert,WAVL Tree,Rotations,703584
30,Insert,RB Tree,Path,1031118
30,Insert,WAVL Tree,Path,1790481
30,Delete,RB Tree,Rotations,184279
30,Delete,WAVL Tree,Rotations,222536
30,Delete,RB Tree,Path,618077
30,Delete,WAVL Tree,Path,921841
31,Insert,RB Tree,Rotations,588276
31,Insert,WAVL Tree,Rotations,704240
31,Insert,RB Tree,Path,1030320
31,Insert,WAVL Tree,Path,1791997
31,Delete,RB Tree,Rotations,184383
31,Delete,WAVL Tree,Rotations,223888
31,Delete,RB Tree,Path,617608
31,Delete,WAVL Tree,Path,922222
32,Insert,RB Tree,Rotations,588224
32,Insert,WAVL Tree,Rotations,703951
32,Insert,RB Tree,Path,1030634
32,Insert,WAVL Tree,Path,1790553
32,Delete,RB Tree,Rotations,185103
32,Delete,WAVL Tree,Rotations,224269
32,Delete,RB Tree,Path,618099
32,Delete,WAVL Tree,Path,920838
33,Insert,RB Tree,Rotations,588693
33,Insert,WAVL Tree,Rotations,703470
33,Insert,RB Tree,Path,1030876
33,Insert,WAVL Tree,Path,1790981
33,Delete,RB Tree,Rotations,184095
33,Delete,WAVL Tree,Rotations,223818
33,Delete,RB Tree,Path,617924
33,Delete,WAVL Tree,Path,921689
34,Insert,RB Tree,Rotations,588945
34,Insert,WAVL Tree,Rotations,705881
34,Insert,RB Tree,Path,1030422
34,Insert,WAVL Tree,Path,1792306
34,Delete,RB Tree,Rotations,185030
34,Delete,WAVL Tree,Rotations,224414
34,Delete,RB Tree,Path,617836
34,Delete,WAVL Tree,Path,922047
35,Insert,RB Tree,Rotations,587462
35,Insert,WAVL Tree,Rotations,703504
35,Insert,RB Tree,Path,1031300
35,Insert,WAVL Tree,Path,1791196
35,Delete,RB Tree,Rotations,184526
35,Delete,WAVL Tree,Rotations,224328
35,Delete,RB Tree,Path,618504
35,Delete,WAVL Tree,Path,922110
36,Insert,RB Tree,Rotations,588221
